date,hour,mibor,repo,cblo,usdinr,gsec,call_avg,balance,inflow,outflow
2024-01-01,0,6.7651,6.4866,6.5084,83.142,7.1516,6.6088,244.9,1.9,2.0
2024-01-01,1,6.7611,6.4869,6.5188,83.2412,7.1463,6.6407,244.3,1.3,1.9
2024-01-01,2,6.7506,6.48,6.5115,83.177,7.1442,6.6331,244.4,2.0,1.8
2024-01-01,3,6.7537,6.4905,6.5101,83.2023,7.1474,6.6198,243.7,1.4,2.2
2024-01-01,4,6.7549,6.4896,6.5143,83.2131,7.1423,6.6336,244.0,1.7,1.4
2024-01-01,5,6.7514,6.4811,6.5074,83.2355,7.1433,6.6266,246.0,2.5,0.5
2024-01-01,6,6.7553,6.49,6.5185,83.2224,7.1479,6.6235,247.9,2.4,0.5
2024-01-01,7,6.7501,6.4839,6.5131,83.2328,7.1502,6.6288,253.9,6.9,0.9
2024-01-01,8,6.7677,6.4836,6.509,83.2081,7.15,6.6363,262.4,10.4,1.9
2024-01-01,9,6.7624,6.486,6.5136,83.2031,7.1435,6.6394,268.1,7.5,1.9
2024-01-01,10,6.7553,6.4885,6.5113,83.1959,7.1473,6.6313,215.1,1.6,54.6
2024-01-01,11,6.7385,6.4831,6.512,83.2464,7.1459,6.6255,217.8,4.6,1.8
2024-01-01,12,6.759,6.4883,6.5089,83.2037,7.1433,6.633,218.3,1.8,1.3
2024-01-01,13,6.7607,6.4835,6.5093,83.2236,7.1437,6.6337,214.1,1.6,5.8
2024-01-01,14,6.7632,6.4808,6.5108,83.2353,7.1437,6.6205,193.6,1.3,21.8
2024-01-01,15,6.7493,6.4855,6.5161,83.2088,7.1499,6.621,186.2,1.7,9.1
2024-01-01,16,6.7609,6.4849,6.5162,83.228,7.1485,6.6328,180.0,0.7,6.9
2024-01-01,17,6.7561,6.4836,6.5084,83.2304,7.1443,6.6406,177.6,0.6,3.0
2024-01-01,18,6.7503,6.4879,6.5113,83.214,7.1453,6.6502,176.5,1.2,2.2
2024-01-01,19,6.7548,6.4871,6.5078,83.1994,7.1484,6.6264,175.7,0.9,1.8
2024-01-01,20,6.7581,6.4843,6.5049,83.1924,7.1472,6.6101,177.7,3.9,1.8
2024-01-01,21,6.7531,6.49,6.5105,83.2401,7.1455,6.6299,178.0,2.1,1.8
2024-01-01,22,6.7585,6.4833,6.5078,83.2245,7.1414,6.6196,177.0,1.2,2.2
2024-01-01,23,6.7547,6.4814,6.5183,83.2204,7.1475,6.6283,176.3,1.4,2.2
2024-01-02,0,6.7756,6.4825,6.5288,83.3271,7.1691,6.6394,177.7,2.1,0.7
2024-01-02,1,6.7703,6.4845,6.5234,83.3644,7.1634,6.6428,180.7,4.8,1.9
2024-01-02,2,6.7669,6.4828,6.516,83.3376,7.1697,6.6483,183.3,4.2,1.6
2024-01-02,3,6.7708,6.4852,6.5164,83.32,7.1595,6.6443,185.9,3.2,0.5
2024-01-02,4,6.7616,6.4815,6.5302,83.331,7.1659,6.6472,185.2,0.7,1.4
2024-01-02,5,6.766,6.4796,6.523,83.3688,7.1655,6.6408,185.6,1.9,1.5
2024-01-02,6,6.7717,6.4912,6.5249,83.3263,7.1662,6.655,188.0,3.2,0.8
2024-01-02,7,6.7648,6.4827,6.5206,83.3339,7.1658,6.6357,194.4,7.2,0.9
2024-01-02,8,6.7726,6.4845,6.515,83.3313,7.1653,6.6605,201.7,8.4,1.2
2024-01-02,9,6.7594,6.4822,6.5287,83.3774,7.1646,6.6478,210.1,9.9,1.5
2024-01-02,10,6.7681,6.4818,6.525,83.3487,7.1643,6.6585,179.9,1.8,32.0
2024-01-02,11,6.766,6.4861,6.5169,83.3317,7.1621,6.657,184.5,6.5,1.9
2024-01-02,12,6.7716,6.484,6.5176,83.343,7.1631,6.6445,185.1,2.2,1.6
2024-01-02,13,6.776,6.487,6.5078,83.3819,7.1643,6.6427,182.2,1.3,4.2
2024-01-02,14,6.7653,6.4848,6.5237,83.3049,7.1611,6.6403,161.5,0.6,21.3
2024-01-02,15,6.776,6.4839,6.5206,83.3479,7.1692,6.6382,155.2,0.9,7.2
2024-01-02,16,6.773,6.4823,6.5239,83.361,7.173,6.6386,151.6,0.7,4.3
2024-01-02,17,6.771,6.4852,6.5179,83.2941,7.1648,6.6456,150.3,1.1,2.4
2024-01-02,18,6.7678,6.48,6.5152,83.3698,7.1627,6.6478,151.5,1.7,0.5
2024-01-02,19,6.7819,6.49,6.5108,83.3798,7.1652,6.6482,151.5,2.0,1.9
2024-01-02,20,6.7653,6.483,6.5247,83.3746,7.1645,6.6466,151.7,1.8,1.6
2024-01-02,21,6.7699,6.4792,6.5209,83.359,7.1623,6.6445,153.7,3.2,1.2
2024-01-02,22,6.7699,6.4835,6.5178,83.3195,7.1658,6.6427,154.9,1.7,0.5
2024-01-02,23,6.7765,6.4856,6.5194,83.3433,7.1678,6.6541,155.5,1.8,1.3
2024-01-03,0,6.7733,6.4737,6.5115,83.2901,7.1444,6.646,155.5,1.7,1.7
2024-01-03,1,6.7656,6.4744,6.5252,83.317,7.1464,6.6438,155.3,0.6,0.8
2024-01-03,2,6.7736,6.4708,6.5155,83.3246,7.1423,6.6503,156.5,2.0,0.9
2024-01-03,3,6.7787,6.4666,6.5256,83.277,7.1383,6.6343,158.4,2.5,0.6
2024-01-03,4,6.7685,6.4777,6.5128,83.3079,7.1466,6.6468,160.2,2.9,1.2
2024-01-03,5,6.7724,6.4718,6.5269,83.3072,7.1456,6.6446,162.3,2.9,0.8
2024-01-03,6,6.768,6.4715,6.5165,83.3084,7.1443,6.6502,165.8,5.4,1.9
2024-01-03,7,6.7692,6.4668,6.5194,83.2878,7.1443,6.6301,171.6,7.6,1.8
2024-01-03,8,6.7742,6.4671,6.5217,83.3123,7.1468,6.653,176.6,6.2,1.2
2024-01-03,9,6.7696,6.4723,6.5037,83.2809,7.1421,6.6607,189.8,13.8,0.6
2024-01-03,10,6.7693,6.4689,6.5152,83.2728,7.1488,6.6319,193.8,4.9,0.9
2024-01-03,11,6.7789,6.4706,6.5112,83.313,7.1448,6.6394,196.6,4.5,1.7
2024-01-03,12,6.7813,6.4711,6.5054,83.3055,7.1462,6.657,197.1,1.7,1.2
2024-01-03,13,6.7642,6.4729,6.5302,83.327,7.1487,6.6341,196.3,1.8,2.6
2024-01-03,14,6.772,6.4719,6.5123,83.3067,7.1464,6.6531,193.2,1.5,4.5
2024-01-03,15,6.7773,6.4714,6.5134,83.2612,7.1448,6.6442,187.9,1.0,6.3
2024-01-03,16,6.7744,6.4753,6.5068,83.3355,7.1446,6.6512,185.8,1.4,3.6
2024-01-03,17,6.7723,6.4767,6.5173,83.286,7.1464,6.6512,185.8,1.5,1.5
2024-01-03,18,6.7724,6.4702,6.5148,83.3099,7.1502,6.6514,186.3,1.9,1.4
2024-01-03,19,6.7706,6.4746,6.509,83.2722,7.145,6.6375,189.0,3.3,0.5
2024-01-03,20,6.7672,6.47,6.508,83.2901,7.1487,6.6349,189.6,2.4,1.8
2024-01-03,21,6.7667,6.4673,6.5143,83.332,7.1496,6.6464,189.6,1.7,1.8
2024-01-03,22,6.7708,6.4733,6.5177,83.2711,7.1487,6.636,191.0,3.3,1.9
2024-01-03,23,6.7678,6.4723,6.5129,83.2933,7.1503,6.6502,192.6,2.5,0.8
2024-01-04,0,6.7615,6.4784,6.5047,83.3604,7.1249,6.6288,192.7,1.6,1.5
2024-01-04,1,6.761,6.479,6.5108,83.3706,7.1233,6.6204,193.4,1.6,0.9
2024-01-04,2,6.7667,6.4815,6.5016,83.3517,7.1331,6.6444,194.1,2.2,1.4
2024-01-04,3,6.7661,6.4773,6.4964,83.353,7.1298,6.6411,195.2,2.4,1.3
2024-01-04,4,6.775,6.48,6.5129,83.3591,7.1312,6.6296,194.9,1.3,1.5
2024-01-04,5,6.7599,6.4775,6.5051,83.3233,7.124,6.6311,196.3,3.3,1.9
2024-01-04,6,6.7639,6.4718,6.5016,83.3717,7.1251,6.6358,197.6,3.1,1.7
2024-01-04,7,6.76,6.4788,6.5037,83.3494,7.1236,6.6348,199.9,3.0,0.8
2024-01-04,8,6.7632,6.4772,6.5074,83.3688,7.1257,6.6322,207.1,8.9,1.6
2024-01-04,9,6.7545,6.4808,6.5096,83.3826,7.1284,6.6386,213.3,7.7,1.5
2024-01-04,10,6.7656,6.4777,6.5035,83.3776,7.1259,6.6287,218.7,6.0,0.6
2024-01-04,11,6.7583,6.4781,6.5116,83.3532,7.1241,6.6174,221.5,3.6,0.9
2024-01-04,12,6.758,6.4807,6.5005,83.3318,7.1219,6.6306,220.3,0.9,2.1
2024-01-04,13,6.7686,6.4799,6.5032,83.3699,7.1286,6.6496,217.9,0.6,3.0
2024-01-04,14,6.7621,6.4822,6.516,83.343,7.1278,6.6365,213.1,1.9,6.7
2024-01-04,15,6.7657,6.4766,6.4959,83.3917,7.1238,6.6546,208.8,1.5,5.8
2024-01-04,16,6.7589,6.4766,6.5069,83.3586,7.1252,6.6352,200.7,1.4,9.5
2024-01-04,17,6.7586,6.4777,6.502,83.3435,7.125,6.6245,200.0,1.8,2.5
2024-01-04,18,6.7574,6.4736,6.5028,83.3513,7.1229,6.636,200.0,1.5,1.6
2024-01-04,19,6.756,6.4787,6.508,83.3397,7.1249,6.634,199.7,1.0,1.2
2024-01-04,20,6.7558,6.479,6.5054,83.3354,7.1305,6.6455,198.9,1.5,2.3
2024-01-04,21,6.7549,6.4772,6.5079,83.3907,7.1254,6.6276,199.2,1.7,1.5
2024-01-04,22,6.7626,6.4732,6.4963,83.3512,7.1284,6.6333,199.7,2.1,1.5
2024-01-04,23,6.7675,6.4783,6.5089,83.3614,7.1275,6.6273,199.3,1.5,1.9
2024-01-05,0,6.7347,6.4753,6.496,83.2805,7.1225,6.6273,199.2,1.2,1.3
2024-01-05,1,6.7554,6.4809,6.4888,83.3189,7.1188,6.6276,200.4,2.0,0.8
2024-01-05,2,6.7649,6.4803,6.4906,83.3406,7.1251,6.6141,199.8,1.2,1.8
2024-01-05,3,6.7621,6.4822,6.4894,83.3062,7.1218,6.6166,198.8,1.0,1.9
2024-01-05,4,6.7381,6.4819,6.4963,83.2995,7.1262,6.61,199.0,1.3,1.1
2024-01-05,5,6.7475,6.4849,6.4839,83.2964,7.1245,6.62,200.5,2.9,1.4
2024-01-05,6,6.7475,6.4816,6.4849,83.3511,7.1206,6.6108,202.6,3.5,1.4
2024-01-05,7,6.7439,6.4779,6.4954,83.3087,7.1234,6.622,205.1,4.4,1.9
2024-01-05,8,6.7433,6.4852,6.4956,83.3396,7.1263,6.6204,208.6,4.4,0.9
2024-01-05,9,6.7433,6.4837,6.4919,83.3377,7.1255,6.6284,218.3,11.4,1.7
2024-01-05,10,6.7452,6.4823,6.5002,83.2784,7.121,6.6157,222.7,6.0,1.6
2024-01-05,11,6.7401,6.4817,6.494,83.3193,7.121,6.6297,227.4,6.1,1.4
2024-01-05,12,6.7454,6.4805,6.4934,83.2931,7.1217,6.6142,226.1,0.7,2.1
2024-01-05,13,6.748,6.4833,6.488,83.3023,7.1271,6.6113,223.9,0.9,3.0
2024-01-05,14,6.7356,6.4831,6.4974,83.2985,7.1206,6.6259,216.4,0.7,8.2
2024-01-05,15,6.7512,6.4793,6.5048,83.3331,7.121,6.6198,208.7,1.3,9.0
2024-01-05,16,6.7531,6.4851,6.4857,83.3302,7.1195,6.6288,201.5,0.9,8.1
2024-01-05,17,6.7411,6.4868,6.4848,83.3227,7.119,6.623,200.2,1.9,3.2
